Latitude,Longitude,point
49.31205, 18.80223, RPT200
49.30997, 18.79554, RPT201
49.30969, 18.79566, RPT202
49.30538, 18.79184, RPT203
49.30438, 18.79119, RPT204
49.30439, 18.79045, RPT205
49.30172, 18.78856, RPT206
49.29892, 18.78560, RPT207
49.29994, 18.78354, RPT208
49.28132, 18.75769, RPT209
49.26983, 18.75035, RPT210
49.26929, 18.74957, RPT211
49.26233, 18.74977, RPT212
49.25921, 18.74654, RPT213
49.25753, 18.74117, RPT214
49.23996, 18.73329, RPT215
49.25079, 18.69948, RPT216
49.25915, 18.68592, RPT217
49.26394, 18.64889, RPT218
49.24081, 18.59316, RPT219
49.23892, 18.57137, RPT220
49.23283, 18.55649, RPT221
49.23275, 18.55633, RPT222
49.23471, 18.55372, RPT223
49.23373, 18.55185, RPT224
49.22465, 18.54145, RPT225
49.21071, 18.52178, RPT226
49.21084, 18.52060, RPT227
49.21067, 18.52062, RPT228
49.20782, 18.52171, RPT229
49.20258, 18.51348, RPT230
49.19276, 18.51219, RPT231
49.16481, 18.46963, RPT232
49.17957, 18.45057, RPT233
49.16601, 18.40560, RPT234
49.16601, 18.40194, RPT235
49.16589, 18.40192, RPT236
49.16521, 18.40004, RPT237
49.16445, 18.39819, RPT238
49.15943, 18.39881, RPT239
49.12879, 18.36931, RPT240
49.13003, 18.36798, RPT241
49.12894, 18.36826, RPT242
49.13062, 18.36684, RPT243
49.12997, 18.36550, RPT244
49.13351, 18.36184, RPT245
49.12971, 18.33220, RPT246
49.12973, 18.33200, RPT247
49.12842, 18.33175, RPT248
49.12707, 18.32688, RPT249
49.12698, 18.32665, RPT250
49.12230, 18.31277, RPT251
49.11692, 18.31292, RPT252
49.07992, 18.30859, RPT253
49.07035, 18.29510, RPT254
49.06880, 18.28822, RPT255
49.06888, 18.28796, RPT256
49.02475, 18.20968, RPT257
49.01474, 18.19750, RPT258
48.99497, 18.16948, RPT259
48.96891, 18.12756, RPT260
48.96848, 18.12734, RPT261
48.96787, 18.12666, RPT262
48.96656, 18.12424, RPT263
48.96370, 18.11692, RPT264
48.95938, 18.10586, RPT265
48.92581, 18.07006, RPT266
48.92256, 18.07107, RPT267
48.90730, 18.05755, RPT268
48.90500, 18.04256, RPT269
48.89944, 18.03672, RPT270
48.89921, 18.03663, RPT271
48.89867, 18.03602, RPT272
48.89844, 18.03583, RPT273
48.89813, 18.03539, RPT274
48.89816, 18.03542, RPT275
48.89847, 18.03473, RPT276
48.88003, 17.98780, RPT277
48.87650, 17.97870, RPT278
48.86164, 17.96820, RPT279
48.86164, 17.96710, RPT280
48.79603, 17.87835, RPT281
48.79470, 17.87699, RPT282
48.79427, 17.87791, RPT283
48.77993, 17.86244, RPT284
48.76553, 17.84794, RPT285
48.76537, 17.84752, RPT286
48.76402, 17.84733, RPT287
48.76410, 17.84598, RPT288
48.76408, 17.84598, RPT289
48.76429, 17.84353, RPT290
48.76471, 17.83893, RPT291
48.76396, 17.83935, RPT292
48.76370, 17.83916, RPT293
48.76331, 17.83878, RPT294
48.76311, 17.83928, RPT295
48.76095, 17.83837, RPT296
48.75995, 17.83585, RPT297
48.75769, 17.83648, RPT298
48.75677, 17.83657, RPT299
48.75555, 17.83624, RPT300
48.75508, 17.83592, RPT301
48.75222, 17.83431, RPT302
48.75190, 17.83378, RPT303
48.75159, 17.83063, RPT304
48.74900, 17.83135, RPT305
48.74765, 17.82666, RPT306
48.74805, 17.82684, RPT307
48.74725, 17.82355, RPT308
48.74549, 17.82195, RPT309
48.68009, 17.77450, RPT310
48.61517, 17.75046, RPT311
48.60930, 17.74510, RPT312
48.62174, 17.72323, RPT313
48.62021, 17.72230, RPT314
48.56962, 17.62368, RPT315
48.54552, 17.59046, RPT316
48.54451, 17.58594, RPT317
48.53129, 17.53930, RPT318
48.53363, 17.53628, RPT319
48.53269, 17.53402, RPT320
48.53566, 17.53032, RPT321
48.52402, 17.46682, RPT322
48.52745, 17.46296, RPT323
48.52800, 17.46093, RPT324
48.53656, 17.44431, RPT325
48.54476, 17.42254, RPT326
48.54268, 17.40529, RPT327
48.54194, 17.39466, RPT328
48.53658, 17.32693, RPT329
48.51266, 17.30211, RPT330
48.45913, 17.20241, RPT331
48.45717, 17.17140, RPT332
48.45454, 17.16666, RPT333
48.45171, 17.16278, RPT334
48.43324, 17.15999, RPT335
48.40649, 17.15478, RPT336
48.36756, 17.14387, RPT337
48.36862, 17.14050, RPT338
48.33225, 17.04129, RPT339
48.33006, 17.03312, RPT340
48.32491, 17.02930, RPT341
48.32934, 17.01709, RPT342
48.28495, 16.96767, RPT343
48.21917, 16.97097, RPT344
48.21114, 16.96847, RPT345
48.21100, 16.96881, RPT346
48.21061, 16.96952, RPT347
48.21408, 16.94665, RPT348
48.21351, 16.94698, RPT349
48.21200, 16.94009, RPT350
48.21202, 16.94008, RPT351
48.20357, 16.91883, RPT352
48.19536, 16.91604, RPT353
48.19515, 16.91606, RPT354
48.19465, 16.91428, RPT355
48.18985, 16.89658, RPT356
48.18771, 16.89551, RPT357
48.18781, 16.89509, RPT358
48.18393, 16.89239, RPT359
48.18278, 16.88839, RPT360
48.18136, 16.87665, RPT361
48.18106, 16.87557, RPT362
48.18073, 16.87583, RPT363
48.17128, 16.83143, RPT364
48.16853, 16.81394, RPT365
48.16729, 16.81415, RPT366
48.16598, 16.81191, RPT367
48.14249, 16.79548, RPT368
48.14182, 16.79525, RPT369
48.13972, 16.79502, RPT370
48.13902, 16.79446, RPT371
48.13372, 16.79414, RPT372
48.13469, 16.66570, RPT373
48.13493, 16.65810, RPT374
48.13534, 16.64540, RPT375
48.13572, 16.63449, RPT376
48.13575, 16.63441, RPT377
48.14003, 16.61471, RPT378
48.13780, 16.61391, RPT379
48.13643, 16.61379, RPT380
48.13644, 16.61348, RPT381
48.13666, 16.60628, RPT382
48.13687, 16.60001, RPT383
48.13709, 16.59486, RPT384
48.13859, 16.58141, RPT385
48.14055, 16.57143, RPT386
48.14596, 16.55193, RPT387
48.15609, 16.52977, RPT388
48.16524, 16.52320, RPT389
48.16607, 16.52151, RPT390
48.17278, 16.50627, RPT391
48.17896, 16.49460, RPT392
48.17755, 16.49264, RPT393
48.17705, 16.49180, RPT394
48.17711, 16.49161, RPT395
48.17688, 16.49170, RPT396
48.17653, 16.49220, RPT397
48.17638, 16.49199, RPT398
48.17530, 16.49036, RPT399
48.17477, 16.49010, RPT400
48.17496, 16.48933, RPT401
48.17634, 16.48775, RPT402
48.17654, 16.48740, RPT403
48.17702, 16.48493, RPT404
48.17731, 16.48439, RPT405
48.17843, 16.48242, RPT406
48.17780, 16.48340, RPT407
48.17586, 16.47796, RPT408
48.17437, 16.48028, RPT409
48.17409, 16.47974, RPT410
48.16360, 16.47341, RPT411
48.16352, 16.47333, RPT412
48.15988, 16.47094, RPT413
48.15413, 16.46657, RPT414
48.15392, 16.46709, RPT415
48.15281, 16.46961, RPT416
48.15190, 16.47125, RPT417
48.14972, 16.47112, RPT418
48.15020, 16.47274, RPT419
48.14827, 16.47405, RPT420
48.14725, 16.47588, RPT421
48.14724, 16.47620, RPT422
48.14689, 16.47621, RPT423
48.14688, 16.47640, RPT424
48.14670, 16.47638, RPT425
48.14655, 16.47707, RPT426
48.14634, 16.47702, RPT427
48.14570, 16.47705, RPT428
48.14565, 16.47724, RPT429
48.14514, 16.47741, RPT430
48.14487, 16.47692, RPT431
48.14185, 16.47591, RPT432
48.14039, 16.47449, RPT433
48.14007, 16.47401, RPT434
48.14042, 16.47348, RPT435
48.13890, 16.47161, RPT436
48.13655, 16.47001, RPT437
48.13496, 16.47137, RPT438
48.13381, 16.47154, RPT439
48.13135, 16.47004, RPT440
48.13135, 16.46962, RPT441
48.12793, 16.46755, RPT442
48.12741, 16.46741, RPT443
48.12645, 16.46615, RPT444
48.12461, 16.46852, RPT445
48.12443, 16.46974, RPT446
48.12438, 16.46980, RPT447
48.12003, 16.46619, RPT448
48.11323, 16.46055, RPT449
48.11236, 16.45901, RPT450
48.10192, 16.44403, RPT451
48.08774, 16.43326, RPT452
48.08585, 16.43120, RPT453
48.07718, 16.43316, RPT454
48.07305, 16.43264, RPT455
48.05819, 16.40440, RPT456
48.03310, 16.38252, RPT457
48.03243, 16.38471, RPT458
48.02490, 16.37979, RPT459
48.02561, 16.37826, RPT460
48.02547, 16.37803, RPT461
48.02376, 16.37550, RPT462
48.01454, 16.36684, RPT463
48.01412, 16.36569, RPT464
48.01367, 16.36636, RPT465
48.00691, 16.35714, RPT466
48.00677, 16.35742, RPT467
48.00365, 16.35387, RPT468
48.00293, 16.35467, RPT469
47.99089, 16.34067, RPT470
47.99086, 16.34069, RPT471
47.99063, 16.34081, RPT472
47.98654, 16.33631, RPT473
47.97930, 16.32609, RPT474
47.97533, 16.32331, RPT475
47.97395, 16.32208, RPT476
47.97326, 16.32192, RPT477
47.97333, 16.32143, RPT478
47.97174, 16.31762, RPT479
47.97174, 16.31757, RPT480
47.97174, 16.31753, RPT481
47.96531, 16.31049, RPT482
47.95917, 16.30515, RPT483
47.95878, 16.30327, RPT484
47.95773, 16.29989, RPT485
47.95684, 16.29803, RPT486
47.95808, 16.29510, RPT487
47.95460, 16.28877, RPT488
47.95582, 16.28753, RPT489
47.95211, 16.28033, RPT490
47.95154, 16.27978, RPT491
47.95147, 16.27969, RPT492
47.94933, 16.27553, RPT493
47.94711, 16.26371, RPT494
47.94571, 16.26541, RPT495
47.94569, 16.26565, RPT496
47.94531, 16.26613, RPT497
47.94138, 16.26189, RPT498
47.94036, 16.26355, RPT499
47.93972, 16.26173, RPT500
47.93706, 16.25872, RPT501
47.93696, 16.25876, RPT502
47.93376, 16.25460, RPT503
47.93264, 16.25290, RPT504
47.91211, 16.25253, RPT505
47.90653, 16.25074, RPT506
47.90573, 16.25048, RPT507
47.90040, 16.24890, RPT508
47.89817, 16.24713, RPT509
47.89789, 16.24653, RPT510
47.89579, 16.24718, RPT511
47.89590, 16.24601, RPT512
47.89311, 16.24664, RPT513
47.88693, 16.24760, RPT514
47.88664, 16.24619, RPT515
47.88658, 16.24619, RPT516
47.88379, 16.23908, RPT517
47.88384, 16.23899, RPT518
47.88344, 16.23825, RPT519
47.88316, 16.23825, RPT520
47.87593, 16.22622, RPT521
